Master ID,Item ID,Parent ID,Menu Name,Menu Group,Subgroup,Menu Item,Avg Price,Item Qty (incl voids),% of Ttl Qty (incl voids),Gross Amount (incl voids),% of Ttl Amt (incl voids),Item Qty,Gross Amount,Void Qty,Void Amount,Discount Amount,Net Amount,# Orders,% of Ttl # Orders,% Qty (Group),% Qty (Menu),% Qty (All),% Net Amt (Group),% Net Amt (Menu),% Net Amt (All)
200000003027874495,200000003027874494,200000000870817447,DRINKS,Liquor,Vodka,Van Gogh Espresso,12.0,1.0,0.25,12.00,0.2857142857142857,1.0,12.00,0.0,0.00,0.00,12.00,1,0.3333333333333333,0.25,0.1,0.017543859649122806,0.2857142857142857,0.12396694214876033,0.022753128555176336
200000000870817449,200000000870817448,200000000870814817,DRINKS,Liquor,Gin,,10.00,1.0,0.1,10.00,0.09803921568627451,1.0,10.00,0.0,0.00,2.00,8.00,1,0.14285714285714285,0,0.1,0.017543859649122806,0,0.08264462809917356,0.015168752370117559
200000000870828801,200000000870828800,200000000870817449,DRINKS,Liquor,Gin,Tanqueray,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000000870828803,200000000870828802,200000000870817449,DRINKS,Liquor,Gin,Beefeater,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000000870828805,200000000870828804,200000000870817449,DRINKS,Liquor,Gin,Bombay Sapphire,10.0,1.0,1.0,10.00,1.0,1.0,10.00,0.0,0.00,2.00,8.00,1,1.0,1.0,0.1,0.017543859649122806,1.0,0.08264462809917356,0.015168752370117559
200000000870828807,200000000870828806,200000000870817449,DRINKS,Liquor,Gin,Hendricks,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000000870817501,200000000870817500,200000000870814817,DRINKS,Liquor,Rum,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000000870830039,200000000870830038,200000000870817501,DRINKS,Liquor,Rum,Bacardi,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000000870830041,200000000870830040,200000000870817501,DRINKS,Liquor,Rum,Captain Morgan,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000000870830043,200000000870830042,200000000870817501,DRINKS,Liquor,Rum,Malibu,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000000870830045,200000000870830044,200000000870817501,DRINKS,Liquor,Rum,Goslings,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000001507090399,200000001507090398,200000000870817501,DRINKS,Liquor,Rum,Plantation silver,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000000870817503,200000000870817502,200000000870814817,DRINKS,Liquor,Tequila,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000000870832239,200000000870832238,200000000870817503,DRINKS,Liquor,Tequila,Don Julio Blanco,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000000870832241,200000000870832240,200000000870817503,DRINKS,Liquor,Tequila,Jose Cuervo Silver,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000000870832243,200000000870832242,200000000870817503,DRINKS,Liquor,Tequila,Jose Cuervo Gold,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000000870832245,200000000870832244,200000000870817503,DRINKS,Liquor,Tequila,Patron Silver,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000000870832247,200000000870832246,200000000870817503,DRINKS,Liquor,Tequila,Patron Gold,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000000870832249,200000000870832248,200000000870817503,DRINKS,Liquor,Tequila,Maestro Dobel,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000000946979053,200000000946979052,200000000870817503,DRINKS,Liquor,Tequila,1800,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000003210180394,200000003210180393,200000000870817503,DRINKS,Liquor,Tequila,Casamigos,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000008321922570,200000008321922569,200000000870817503,DRINKS,Liquor,Tequila,Lunazul,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000000870817505,200000000870817504,200000000870814817,DRINKS,Liquor,Rye,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000000870833687,200000000870833686,200000000870817505,DRINKS,Liquor,Rye,Seagrams 7,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000000870833689,200000000870833688,200000000870817505,DRINKS,Liquor,Rye,Seagrams VO,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000000870833691,200000000870833690,200000000870817505,DRINKS,Liquor,Rye,Canadian Club,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000003063592239,200000003063592238,200000000870817505,DRINKS,Liquor,Rye,Taconic Rye,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000003078324354,200000003078324353,200000000870817505,DRINKS,Liquor,Rye,Black Velvet,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000000870817508,200000000870817507,200000000870814817,DRINKS,Liquor,Scotch,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000000870836090,200000000870836089,200000000870817508,DRINKS,Liquor,Scotch,Dewars,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000000870836092,200000000870836091,200000000870817508,DRINKS,Liquor,Scotch,Dewars 12,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000001329745897,200000001329745896,200000000870817508,DRINKS,Liquor,Scotch,Famous Grouse,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000000870836094,200000000870836093,200000000870817508,DRINKS,Liquor,Scotch,Johnny Walker Red,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000000870836096,200000000870836095,200000000870817508,DRINKS,Liquor,Scotch,Johnny Walker Black,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000000870836098,200000000870836097,200000000870817508,DRINKS,Liquor,Scotch,Chivas 12,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000000870836150,200000000870836099,200000000870817508,DRINKS,Liquor,Scotch,Glenlivet 12,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000000870836152,200000000870836151,200000000870817508,DRINKS,Liquor,Scotch,Balvenie 12,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000000870836154,200000000870836153,200000000870817508,DRINKS,Liquor,Scotch,Macallan 12,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000003246120546,200000003246120545,200000000870817508,DRINKS,Liquor,Scotch,Oban 14,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000005004276149,200000005004276148,200000000870817508,DRINKS,Liquor,Scotch,Macallan Estate,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000000870817510,200000000870817509,200000000870814817,DRINKS,Liquor,Irish Whiskey,,12.00,2.0,0.2,24.00,0.23529411764705882,2.0,24.00,0.0,0.00,0.00,24.00,1,0.14285714285714285,0,0.2,0.03508771929824561,0,0.24793388429752067,0.04550625711035267
200000000870837613,200000000870837612,200000000870817510,DRINKS,Liquor,Irish Whiskey,Jameson Black Barrel,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000000870837615,200000000870837614,200000000870817510,DRINKS,Liquor,Irish Whiskey,Tullamore Dew 12,12.0,2.0,1.0,24.00,1.0,2.0,24.00,0.0,0.00,0.00,24.00,1,1.0,1.0,0.2,0.03508771929824561,1.0,0.24793388429752067,0.04550625711035267
200000000870837617,200000000870837616,200000000870817510,DRINKS,Liquor,Irish Whiskey,Jameson,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000006775260033,200000006775260032,200000000870817510,DRINKS,Liquor,Irish Whiskey,Sexton Single Malt,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000009938174565,200000009938174564,200000000870817510,DRINKS,Liquor,Irish Whiskey,Irish Coffee,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000000870817513,200000000870817512,200000000870814817,DRINKS,Liquor,Cordials,,10.00,1.0,0.1,10.00,0.09803921568627451,1.0,10.00,0.0,0.00,0.00,10.00,1,0.14285714285714285,0,0.1,0.017543859649122806,0,0.10330578512396695,0.018960940462646948
200000000870841345,200000000870841344,200000000870817513,DRINKS,Liquor,Cordials,Baileys,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000000870841347,200000000870841346,200000000870817513,DRINKS,Liquor,Cordials,Disaronno,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000000870841349,200000000870841348,200000000870817513,DRINKS,Liquor,Cordials,B&B,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000000870841401,200000000870841400,200000000870817513,DRINKS,Liquor,Cordials,Kahlua,10.0,1.0,1.0,10.00,1.0,1.0,10.00,0.0,0.00,0.00,10.00,1,1.0,1.0,0.1,0.017543859649122806,1.0,0.10330578512396695,0.018960940462646948
200000000870841403,200000000870841402,200000000870817513,DRINKS,Liquor,Cordials,Cointreau,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
