Master ID,Item ID,Parent ID,Menu Name,Menu Group,Subgroup,Menu Item,Avg Price,Item Qty (incl voids),% of Ttl Qty (incl voids),Gross Amount (incl voids),% of Ttl Amt (incl voids),Item Qty,Gross Amount,Void Qty,Void Amount,Discount Amount,Net Amount,# Orders,% of Ttl # Orders,% Qty (Group),% Qty (Menu),% Qty (All),% Net Amt (Group),% Net Amt (Menu),% Net Amt (All)
200000009320962360,200000009320962359,200000001207517205,DRINKS,Wine,Bottles/White,BTL Wairu Sauvignon Blanc,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000009945760616,200000009945760615,200000001207517205,DRINKS,Wine,Bottles/White,BTL Heinz Eifel Riesling,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000001207517223,200000001207517222,200000001102433494,DRINKS,Wine,Bottles/Rosé,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000002102944158,200000002102944157,200000001207517223,DRINKS,Wine,Bottles/Rosé,BTL Villa Wolf Rose,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000007871704767,200000007871704766,200000001207517223,DRINKS,Wine,Bottles/Rosé,BTL Zenato Rose,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000008067986441,200000008067986440,200000001207517223,DRINKS,Wine,Bottles/Rosé,Gueissard Rose,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000008078565385,200000008078565384,200000001207517223,DRINKS,Wine,Bottles/Rosé,Blanville Rose,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000001207517229,200000001207517228,200000001102433494,DRINKS,Wine,Bottles/Sparkling,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000001207517234,200000001207517233,200000001207517229,DRINKS,Wine,Bottles/Sparkling,BTL Ruggeri Argeo Brut Prosecco,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000001207517236,200000001207517235,200000001207517229,DRINKS,Wine,Bottles/Sparkling,BTL La Vieille Ferme Brut Rosé Reserve,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000001207520099,200000001207520098,200000001207517229,DRINKS,Wine,Bottles/Sparkling,BTL Drappier Carte d’Or Brut,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000008068061448,200000008068061447,200000001207517229,DRINKS,Wine,Bottles/Sparkling,Col Dorato Prosecco,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000001252746158,200000001252746157,200000001102433494,DRINKS,Wine,Bottles/After Dinner,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000001252749604,200000001252749603,200000001252746158,DRINKS,Wine,Bottles/After Dinner,BTL Sarraco Moscato D'asti,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
